Day,2018/2019,2017/2018,2016/2017,2015/2016,2014/2015,2013/2014,2012/2013,2011/2012,2010/2011,2009/2010,2008/2009,2007/2008,2006/2007
1,0,3,0,0,3,0,1,1,1,3,3,3,1
2,0,3,1,3,4,3,2,1,4,3,3,4,1
3,3,3,4,4,5,6,5,1,7,6,6,7,2
4,6,6,7,7,6,9,8,4,10,9,9,10,5
5,9,7,10,10,9,12,9,4,11,12,12,13,8
6,12,10,13,10,10,15,9,7,11,12,12,16,11
7,15,13,16,13,10,16,12,7,11,13,13,19,14
8,18,13,19,16,11,19,12,10,14,16,16,22,17
9,21,16,20,19,14,22,15,13,17,19,19,25,18
10,22,19,23,22,17,25,15,16,20,20,20,26,18
11,23,19,24,25,17,25,16,19,20,20,20,27,21
12,24,22,25,26,17,28,19,22,23,23,23,30,22
13,27,25,28,26,20,31,20,23,26,23,23,33,22
14,30,28,31,27,23,34,21,26,26,23,23,36,22
15,31,28,34,30,23,35,21,29,29,26,26,37,25
16,34,29,34,33,26,35,24,29,32,29,29,37,26
17,34,30,34,36,27,36,27,32,32,30,30,40,29
18,37,33,37,36,30,39,30,33,35,31,31,43,30
19,38,34,40,39,33,42,33,36,36,32,32,44,33
20,38,37,41,42,33,45,34,36,39,35,35,47,36
21,41,38,44,43,36,48,34,36,40,38,38,50,36
22,41,39,47,44,39,51,34,36,43,41,41,51,39
23,44,39,47,44,42,52,37,37,46,42,42,54,42
24,47,42,47,45,42,55,38,40,49,43,43,57,45
25,47,42,50,48,45,55,41,43,50,44,44,60,46
26,50,45,50,51,48,56,44,46,53,45,45,63,49
27,53,45,50,51,51,59,47,49,56,46,46,64,52
28,,45,51,51,54,59,47,52,57,49,49,65,55
29,,45,54,52,57,62,50,55,58,52,52,66,55
30,,48,54,55,60,62,53,58,59,55,55,67,55
31,,51,57,58,63,63,56,58,62,58,58,67,55
32,,54,60,59,66,64,59,61,63,61,61,70,56
33,,54,60,60,67,64,60,64,64,62,62,71,59
34,,57,63,63,70,67,63,64,64,65,65,71,62
35,,57,66,64,70,70,64,65,67,68,68,74,63
36,,60,69,67,71,73,67,66,67,68,68,77,66
37,,60,72,68,72,76,70,67,67,69,69,80,67
38,,63,75,71,75,79,73,70,68,72,72,83,68